id,host_id,calculated_host_listings_count,price,availability_365,property_type,room_type,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,number_of_reviews,review_scores_rating,review_scores_communication,review_scores_checkin,reviews_per_month,picture_url,neighbourhood_cleansed,latitude,longitude,Standardization_Score,Neighborhood_Impact
2871271,14627960,1,,96,Entire rental unit,Entire home/apt,within an hour,100%,t,t,299,4.62,4.84,4.75,2.2,https://a0.muscache.com/pictures/38198560/46a7a1f9_original.jpg,Élysée,48.87933,2.31491,1,0
2785692,14099131,1,,176,Private room in tiny home,Private room,N/A,N/A,f,t,15,4.8,4.93,4.93,0.2,https://a0.muscache.com/pictures/miso/Hosting-2785692/original/8f5e0f36-a35a-4f0f-95d9-148a29bb9045.jpeg,Élysée,48.88045,2.31161,1,1
2892435,14783581,2,,299,Entire rental unit,Entire home/apt,within an hour,100%,t,t,527,4.85,4.87,4.92,3.82,https://a0.muscache.com/pictures/7604870d-c7b7-4bc1-a7d1-129c2dfb2408.jpg,Élysée,48.87046,2.31129,1,0
3015969,15370031,1,,0,Private room in rental unit,Private room,N/A,N/A,f,t,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/38682585/852a0c61_original.jpg,Élysée,48.873,2.30406,-1,-1
3126320,11957723,1,,53,Entire rental unit,Entire home/apt,N/A,N/A,f,t,20,4.9,5.0,4.95,0.15,https://a0.muscache.com/pictures/39880741/1b08a548_original.jpg,Élysée,48.87983,2.31621,-1,1
3199889,7709874,2,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/40726174/62086b79_original.jpg,Élysée,48.8741,2.30664,0,1
3139351,15939924,1,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,f,0,4.82,4.93,4.91,0.0,https://a0.muscache.com/pictures/40033322/5331d749_original.jpg,Élysée,48.8706,2.30615,1,0
22158,84874,1,,76,Private room in rental unit,Private room,within a few hours,100%,t,t,120,4.94,4.98,4.99,0.77,https://a0.muscache.com/pictures/d4ec75eb-90d2-4c2c-adfb-b2910adf801a.jpg,Élysée,48.87039,2.32273,0,-1
48592,152242,102,,300,Entire rental unit,Entire home/apt,within a day,53%,f,t,43,4.35,4.33,4.44,0.29,https://a0.muscache.com/pictures/miso/Hosting-48592/original/e9b90bd4-4851-4cdb-8e73-52a5b36ec951.jpeg,Élysée,48.87341,2.30778,-1,1
55239,260696,2,,336,Entire rental unit,Entire home/apt,within a few hours,100%,f,t,22,5.0,4.95,4.86,0.14,https://a0.muscache.com/pictures/325656/1dd3aa03_original.jpg,Élysée,48.8726,2.31477,1,-1
171159,193142,1,,325,Entire rental unit,Entire home/apt,within an hour,100%,f,t,506,4.31,4.83,4.62,2.95,https://a0.muscache.com/pictures/airflow/Hosting-171159/original/f6945cb0-e7f6-4141-b5c8-9ec9b2abfcb1.jpg,Élysée,48.87573,2.32662,-1,1
348747,1767140,1,,120,Entire rental unit,Entire home/apt,within an hour,100%,t,t,218,4.88,4.92,4.89,1.55,https://a0.muscache.com/pictures/111055338/28d79762_original.jpg,Élysée,48.883,2.3263,1,0
243040,1275649,2,,0,Entire rental unit,Entire home/apt,N/A,N/A,f,t,52,4.45,4.51,4.51,0.31,https://a0.muscache.com/pictures/2306504/b7a67144_original.jpg,Élysée,48.87114,2.32606,1,0
108591,561870,2,,286,Entire rental unit,Entire home/apt,within an hour,100%,t,t,34,5.0,5.0,5.0,0.29,https://a0.muscache.com/pictures/25811da6-475d-4ef9-bdfa-3be104a7aae2.jpg,Élysée,48.8742,2.297,0,-1
270067,1414111,1,,192,Entire rental unit,Entire home/apt,within an hour,100%,t,t,53,4.98,4.98,5.0,0.35,https://a0.muscache.com/pictures/29f3ec93-e0e1-403b-8da5-5dcb4ff73f17.jpg,Élysée,48.87241,2.31465,0,0
